"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 00:00","2024","09","01","00:00","","23.4","","12.4","","50","","0.0","","34","","8","","16.1","","99.59","","26","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 01:00","2024","09","01","01:00","","19.5","","14.6","","73","","0.0","","","","0","","16.1","","99.60","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 02:00","2024","09","01","02:00","","17.5","","14.4","","82","","0.0","","","","0","","16.1","","99.61","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 03:00","2024","09","01","03:00","","16.5","","14.7","","89","","0.0","","35","","4","","16.1","","99.57","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 04:00","2024","09","01","04:00","","15.5","","14.4","","93","","0.0","","","M","4","","16.1","","99.53","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 05:00","2024","09","01","05:00","","15.5","","14.6","","94","","0.0","","","","0","","16.1","","99.46","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 06:00","2024","09","01","06:00","","14.6","","13.8","","95","","0.0","","36","","5","","16.1","","99.42","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 07:00","2024","09","01","07:00","","13.4","","12.9","","97","","0.0","","","","0","","16.1","","99.40","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 08:00","2024","09","01","08:00","","13.3","","13.2","","99","","0.0","","1","","5","","16.1","","99.36","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 09:00","2024","09","01","09:00","","14.4","","13.5","","94","","0.0","","34","","5","","16.1","","99.34","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 10:00","2024","09","01","10:00","","13.9","","13.4","","97","","0.0","","","","0","","16.1","","99.31","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 11:00","2024","09","01","11:00","","12.9","","12.9","","100","","0.0","","36","","4","","16.1","","99.27","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 12:00","2024","09","01","12:00","","16.9","","15.9","","94","","0.0","","","M","4","","16.1","","99.25","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 13:00","2024","09","01","13:00","","21.5","","17.2","","76","","0.0","","23","","15","","16.1","","99.23","","27","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 14:00","2024","09","01","14:00","","22.4","","16.4","","68","","0.0","","26","","18","","16.1","","99.25","","27","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 15:00","2024","09","01","15:00","","24.2","","16.7","","62","","0.0","","27","","18","","16.1","","99.27","","29","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 16:00","2024","09","01","16:00","","23.6","","15.4","","60","","0.0","","30","","34","","16.1","","99.30","","28","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 17:00","2024","09","01","17:00","","24.6","","13.6","","50","","0.0","","31","","28","","16.1","","99.35","","28","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 18:00","2024","09","01","18:00","","24.0","","11.8","","46","","0.0","","30","","32","","16.1","","99.43","","26","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 19:00","2024","09","01","19:00","","24.1","","12.0","","46","","0.0","","31","","28","","16.1","","99.44","","26","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-09-01 20:00","2024","09","01","20:00","","23.8","","11.9","","47","","0.0","","30","","28","","16.1","","99.46","","26","","","","NA"
